price,area,bedrooms,bathrooms,stories,mainroad,parking,area_bin_small,area_bin_medium,area_bin_large,area_bin_very_large,price_bin_medium-budget,price_bin_high-budget,price_bin_luxury-budget,price_bin_ultra-luxury-budget,furnishingstatus_semi-furnished,furnishingstatus_unfurnished
91.0,6000,4,1,2,1,2,0,1,0,0,0,0,0,1,1,0
91.0,6600,4,2,2,1,1,0,0,1,0,0,0,0,1,0,1
88.9,4600,3,2,2,1,2,0,1,0,0,0,0,0,1,0,0
88.55,6420,3,2,2,1,1,0,0,1,0,0,0,0,1,1,0
87.5,4320,3,1,2,1,2,0,1,0,0,0,0,0,1,1,0
86.8,7155,3,2,1,1,2,0,0,1,0,0,0,0,1,0,1
86.45,8050,3,1,1,1,1,0,0,0,1,0,0,0,1,0,0
86.45,4560,3,2,2,1,1,0,1,0,0,0,0,0,1,0,0
85.75,8800,3,2,2,1,2,0,0,0,1,0,0,0,1,0,0
85.4,6540,4,2,2,1,2,0,0,1,0,0,0,0,1,0,0
84.0,8875,3,1,1,1,1,0,0,0,1,0,0,0,1,1,0
84.0,5500,4,2,2,1,1,0,1,0,0,0,0,0,1,1,0
82.95,4880,4,2,2,1,1,0,1,0,0,0,0,0,1,0,0
81.9,5960,3,3,2,1,1,0,1,0,0,0,0,0,1,0,1
80.43,7482,3,2,3,1,1,0,0,1,0,0,0,0,1,0,0
78.75,6550,3,1,2,1,0,0,0,1,0,0,0,1,0,0,0
75.6,6000,3,2,3,1,0,0,1,0,0,0,0,1,0,1,0
74.55,4300,3,2,2,1,1,0,1,0,0,0,0,1,0,0,1
74.2,7440,3,2,1,1,0,0,0,1,0,0,0,1,0,1,0
73.5,6000,3,2,2,1,1,0,1,0,0,0,0,1,0,1,0
73.5,6000,3,1,2,1,1,0,1,0,0,0,0,1,0,0,1
71.4,6000,3,2,2,1,1,0,1,0,0,0,0,1,0,1,0
70.7,8880,2,1,1,1,1,0,0,0,1,0,0,1,0,1,0
70.7,6240,4,2,2,1,1,0,0,1,0,0,0,1,0,0,0
70.35,6360,4,2,3,1,2,0,0,1,0,0,0,1,0,0,0
69.3,8880,3,2,2,1,1,0,0,0,1,0,0,1,0,0,0
68.95,7700,3,2,1,1,2,0,0,1,0,0,0,1,0,0,1
68.6,6000,3,1,1,1,1,0,1,0,0,0,0,1,0,0,0
67.9,4000,3,2,2,1,0,1,0,0,0,0,0,1,0,1,0
66.5,4040,3,1,2,1,1,0,1,0,0,0,0,1,0,0,0
66.5,4260,4,2,2,1,0,0,1,0,0,0,0,1,0,1,0
66.5,6420,3,2,3,1,0,0,0,1,0,0,0,1,0,0,0
66.5,6500,3,2,3,1,0,0,0,1,0,0,0,1,0,0,0
66.5,5700,3,1,1,1,2,0,1,0,0,0,0,1,0,0,0
66.5,6000,3,2,3,1,0,0,1,0,0,0,0,1,0,0,0
66.29,6000,3,1,2,1,1,0,1,0,0,0,0,1,0,1,0
66.15,4000,3,2,2,1,1,1,0,0,0,0,0,1,0,1,0
66.15,10500,3,2,1,1,1,0,0,0,0,0,0,1,0,0,0
65.1,3760,3,1,2,1,2,1,0,0,0,0,0,1,0,1,0
65.1,8250,3,2,3,1,0,0,0,0,1,0,0,1,0,0,0
65.1,6670,3,1,3,1,0,0,0,1,0,0,0,1,0,0,1
64.75,3960,3,1,1,1,2,1,0,0,0,0,0,1,0,1,0
64.75,7410,3,1,1,1,2,0,0,1,0,0,0,1,0,0,1
64.4,5000,3,1,2,1,0,0,1,0,0,0,0,1,0,1,0
64.19,6750,2,1,1,1,2,0,0,1,0,0,0,1,0,0,0
63.0,4100,3,2,3,1,2,0,1,0,0,0,0,1,0,1,0
63.0,9000,3,1,1,1,1,0,0,0,1,0,0,1,0,0,0
63.0,6400,3,1,1,1,1,0,0,1,0,0,0,1,0,1,0
62.93,6600,3,2,3,1,0,0,0,1,0,0,0,1,0,0,1
62.65,6000,4,1,3,1,0,0,1,0,0,0,0,1,0,0,1
62.3,6600,3,2,1,1,0,0,0,1,0,0,0,1,0,0,1
62.3,5500,3,1,3,1,1,0,1,0,0,0,0,1,0,0,1
61.95,6350,3,2,3,1,0,0,0,1,0,0,0,1,0,0,0
61.95,5500,3,2,1,1,2,0,1,0,0,0,0,1,0,0,0
61.6,5450,4,2,1,1,0,0,1,0,0,0,0,1,0,1,0
61.25,6420,3,1,3,1,0,0,0,1,0,0,0,1,0,0,1
61.075,3240,4,1,3,1,1,1,0,0,0,0,0,1,0,1,0
60.9,6615,4,2,2,1,1,0,0,1,0,0,0,1,0,1,0
60.9,6600,3,1,1,1,2,0,0,1,0,0,0,1,0,1,0
60.9,8372,3,1,3,1,2,0,0,0,1,0,0,1,0,0,1
60.83,9620,3,1,1,1,2,0,0,0,1,0,0,1,0,0,0
60.2,6800,2,1,1,1,2,0,0,1,0,0,0,1,0,0,0
60.2,8000,3,1,1,1,2,0,0,1,0,0,0,1,0,1,0
60.2,6900,3,2,1,1,0,0,0,1,0,0,0,1,0,0,1
59.5,3700,4,1,2,1,0,1,0,0,0,0,1,0,0,0,0
59.5,6420,3,1,1,1,0,0,0,1,0,0,1,0,0,0,0
59.5,7020,3,1,1,1,2,0,0,1,0,0,1,0,0,1,0
59.5,6540,3,1,1,1,2,0,0,1,0,0,1,0,0,0,0
59.5,7231,3,1,2,1,0,0,0,1,0,0,1,0,0,1,0
59.5,6254,4,2,1,1,1,0,0,1,0,0,1,0,0,1,0
59.5,7320,4,2,2,1,0,0,0,1,0,0,1,0,0,0,0
58.8,7160,3,1,1,1,2,0,0,1,0,0,1,0,0,0,1
58.8,6500,3,2,3,1,0,0,0,1,0,0,1,0,0,0,1
58.73,5500,3,1,3,1,1,0,1,0,0,0,1,0,0,0,0
58.66,4800,3,1,1,1,0,0,1,0,0,0,1,0,0,0,1
58.1,5200,3,1,3,1,0,0,1,0,0,0,1,0,0,1,0
58.1,4800,3,1,3,1,0,0,1,0,0,0,1,0,0,0,1
58.03,7000,3,1,1,1,2,0,0,1,0,0,1,0,0,1,0
57.4,5400,4,2,2,1,2,0,1,0,0,0,1,0,0,0,1
57.4,4640,4,1,2,1,1,0,1,0,0,0,1,0,0,1,0
